Country,Confimed cases(new),Total cases with travel history to China(new),Total cases with possible or confirmed transmission outside of China(new),Total cases with site of transmission under investigation(new),Total deaths(new)
Singapore,50 (3),22 (0),28 (3),0 (0),0 (0)
Japan,29 (0),24 (0),5 (0),0 (0),0 (0)
Republic of Korea,28 (0),13 (0),12§§ (0),3 (0),0 (0)
Malaysia,18 (0),15 (0),3‡‡ (0),0 (0),0 (0)
Viet Nam,16 (1),8 (0),8 (1),0 (0),0 (0)
Australia,15 (0),15 (0),0 (0),0 (0),0 (0)
Philippines,3 (0),3 (0),0 (0),0 (0),1 (0)
Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0)
Thailand,33 (0),23 (0),6 (0),4 (0),0 (0)
India,3 (0),3 (0),0 (0),0 (0),0 (0)
Nepal,1 (0),1 (0),0 (0),0 (0),0 (0)
Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0)
United States of America,14 (1),12 (1),2 (0),0 (0),0 (0)
Canada,7 (0),6 (0),0 (0),1 (0),0 (0)
Germany,16 (0),2 (0),14 (0),0 (0),0 (0)
France,11 (0),5 (0),6 (0),0 (0),0 (0)
The United Kingdom,9 (1),2 (1),7*** (0),0 (0),0 (0)
Italy,3 (0),3 (0),0 (0),0 (0),0 (0)
Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0)
Spain,2 (0),0 (0),2§ (0),0 (0),0 (0)
Belgium,1 (0),1 (0),0 (0),0 (0),0 (0)
Finland,1 (0),1 (0),0 (0),0 (0),0 (0)
Sweden,1 (0),1 (0),0 (0),0 (0),0 (0)
United Arab Emirates,8 (0),6 (0),1 (0),1 (0),0 (0)
International conveyance (Japan),174 (0),0 (0),0 (0),174 (0),0 (0)
